Em,IDSessao,Pedido,IP,Pageviews
08/05/2017 23:59:00,2094041785,,"131.253.25.215",0
08/05/2017 23:58:00,2094041734,,"157.55.39.75",0
08/05/2017 23:52:00,2094038699,,"200.232.213.4",4
08/05/2017 23:51:00,2094038302,,"177.104.112.6",3
08/05/2017 23:51:00,2094038238,,"189.85.16.66",24
08/05/2017 23:50:00,2094038112,,"177.34.56.35",3
08/05/2017 23:47:00,2094036885,,"40.77.167.133",0
08/05/2017 23:44:00,2094035634,,"187.113.38.232",3
08/05/2017 23:44:00,2094035328,,"199.30.24.176",0
08/05/2017 23:43:00,2094035028,,"157.55.39.75",0
08/05/2017 23:43:00,2094034988,,"157.55.39.79",0
08/05/2017 23:39:00,2094033336,,"40.77.167.133",0
08/05/2017 23:35:00,2094031703,,"152.156.215.68",2
08/05/2017 23:34:00,2094031357,,"199.30.24.170",0
08/05/2017 23:34:00,2094031337,,"157.55.39.75",0
08/05/2017 23:28:00,2094028940,,"66.249.64.214",0
08/05/2017 23:27:00,2094028617,,"189.201.213.218",15
08/05/2017 23:27:00,2094028505,,"66.249.64.218",0
08/05/2017 23:26:00,2094028228,,"66.249.64.210",0
08/05/2017 23:22:00,2094025808,,"191.180.157.130",2
08/05/2017 23:21:00,2094025575,,"54.236.1.11",0
08/05/2017 23:21:00,2094025560,,"98.117.185.146",5
08/05/2017 23:19:00,2094024684,,"66.249.64.210",0
08/05/2017 23:15:00,2094022732,,"201.24.203.184",1
08/05/2017 23:12:00,2094021532,,"177.79.73.58",2
08/05/2017 22:55:00,2094014129,,"189.47.108.37",11
08/05/2017 22:45:00,2094009293,,"157.55.39.79",0
08/05/2017 22:44:00,2094008897,,"157.55.39.75",0
08/05/2017 22:39:00,2094006372,,"187.52.231.126",7
08/05/2017 22:39:00,2094006286,,"177.97.221.216",12
08/05/2017 22:36:00,2094004628,,"187.35.9.250",1
08/05/2017 22:35:00,2094004022,,"54.236.1.13",0
08/05/2017 22:35:00,2094004002,,"177.158.116.160",1
08/05/2017 22:35:00,2094003867,,"131.253.25.170",0
08/05/2017 22:33:00,2094002991,,"189.58.204.1",4
08/05/2017 22:31:00,2094002025,,"179.208.103.141",33
08/05/2017 22:30:00,2094000974,,"66.249.64.218",0
08/05/2017 22:29:00,2093999987,,"177.179.50.186",10
08/05/2017 22:25:00,2093997012,,"66.249.64.214",0
08/05/2017 22:22:00,2093996037,,"138.121.24.225",44
08/05/2017 22:22:00,2093995962,,"157.55.39.79",0
08/05/2017 22:21:00,2093995702,,"189.126.182.132",0
08/05/2017 22:21:00,2093995700,,"189.126.182.132",1
08/05/2017 22:19:00,2093994593,,"191.54.56.69",0
08/05/2017 22:19:00,2093994589,,"191.54.56.69",0
08/05/2017 22:19:00,2093994587,,"191.54.56.69",0
08/05/2017 22:19:00,2093994565,,"191.54.56.69",1
08/05/2017 22:19:00,2093994509,,"177.132.54.28",16
08/05/2017 22:19:00,2093994423,,"191.54.56.69",1
08/05/2017 22:18:00,2093994216,,"191.54.56.69",1
08/05/2017 22:18:00,2093994048,,"191.54.56.69",1
08/05/2017 22:18:00,2093993877,,"191.54.56.69",0
08/05/2017 22:18:00,2093993871,,"191.54.56.69",0
08/05/2017 22:18:00,2093993857,,"191.54.56.69",1
08/05/2017 22:17:00,2093993382,,"191.54.56.69",1
08/05/2017 22:16:00,2093993211,,"191.54.56.69",1
08/05/2017 22:16:00,2093993000,,"191.54.56.69",1
08/05/2017 22:16:00,2093992785,,"191.54.56.69",1
08/05/2017 22:15:00,2093992586,,"191.54.56.69",1
08/05/2017 22:15:00,2093992378,,"191.54.56.69",1
08/05/2017 22:14:00,2093992172,,"191.54.56.69",1
08/05/2017 22:14:00,2093992068,,"177.11.254.2",1
08/05/2017 22:14:00,2093991907,,"191.54.56.69",0
08/05/2017 22:14:00,2093991904,,"191.54.56.69",0
08/05/2017 22:14:00,2093991882,,"191.54.56.69",1
08/05/2017 22:13:00,2093991705,,"191.54.56.69",0
08/05/2017 22:13:00,2093991693,,"191.54.56.69",0
08/05/2017 22:13:00,2093991690,,"191.54.56.69",0
08/05/2017 22:13:00,2093991652,,"191.54.56.69",1
08/05/2017 22:10:00,2093989799,,"157.55.39.122",0
08/05/2017 22:05:00,2093987449,,"177.66.244.6",4
08/05/2017 22:05:00,2093987357,,"191.7.195.158",4
08/05/2017 22:00:00,2093985137,,"189.13.4.206",1
08/05/2017 22:00:00,2093985136,,"201.202.219.15",1
08/05/2017 21:58:00,2093984423,,"200.204.224.208",1
08/05/2017 21:54:00,2093982309,,"54.236.1.12",0
08/05/2017 21:54:00,2093982291,,"201.172.3.39",1
08/05/2017 21:52:00,2093981230,,"67.227.147.196",2
08/05/2017 21:51:00,2093980829,,"179.241.197.85",59
08/05/2017 21:50:00,2093980104,,"177.79.2.5",4
08/05/2017 21:50:00,2093980012,,"66.249.64.210",0
08/05/2017 21:50:00,2093979993,,"66.249.64.218",0
08/05/2017 21:48:00,2093979154,,"66.249.64.218",0
08/05/2017 21:47:00,2093979032,,"66.249.64.210",0
08/05/2017 21:47:00,2093978994,,"66.249.64.210",0
08/05/2017 21:47:00,2093978801,,"66.249.64.210",0
08/05/2017 21:45:00,2093977767,,"179.210.123.65",1
08/05/2017 21:36:00,2093973263,,"170.0.142.210",30
08/05/2017 21:35:00,2093972692,,"66.249.64.218",0
08/05/2017 21:33:00,2093971913,,"157.55.39.79",0
08/05/2017 21:32:00,2093971349,,"40.77.167.133",0
08/05/2017 21:31:00,2093970826,,"179.180.204.193",13
08/05/2017 21:31:00,2093970402,,"177.5.56.41",13
08/05/2017 21:28:00,2093968803,,"66.249.64.214",0
08/05/2017 21:25:00,2093967559,,"177.13.236.21",2
08/05/2017 21:24:00,2093967154,,"66.249.64.210",0
08/05/2017 21:24:00,2093967116,,"66.249.64.214",0
08/05/2017 21:24:00,2093966727,,"66.249.64.214",0
08/05/2017 21:22:00,2093965945,,"66.249.64.214",0
08/05/2017 21:21:00,2093965605,,"189.123.56.154",2
08/05/2017 21:20:00,2093964971,,"66.249.64.214",0
08/05/2017 21:20:00,2093964680,,"191.240.208.141",12
08/05/2017 21:19:00,2093964583,,"66.249.64.214",0
08/05/2017 21:19:00,2093964561,,"66.249.64.210",0
08/05/2017 21:16:00,2093963045,,"66.249.64.214",0
08/05/2017 21:14:00,2093961665,,"66.249.64.218",0
08/05/2017 21:07:00,2093958113,,"66.249.64.210",0
08/05/2017 21:01:00,2093955114,,"40.77.167.133",0
08/05/2017 21:00:00,2093954519,,"187.84.7.39",2
08/05/2017 20:58:00,2093953718,,"177.154.28.42",5
08/05/2017 20:55:00,2093952208,,"187.10.65.83",11
08/05/2017 20:52:00,2093950922,,"200.164.246.73",17
08/05/2017 20:49:00,2093948835,,"201.69.187.89",15
08/05/2017 20:46:00,2093947427,,"186.203.13.124",1
08/05/2017 20:45:00,2093946887,,"200.188.227.252",2
08/05/2017 20:45:00,2093946775,,"66.249.64.214",0
08/05/2017 20:43:00,2093946034,,"189.120.190.41",2
08/05/2017 20:41:00,2093944944,,"66.249.64.210",0
08/05/2017 20:41:00,2093944844,,"66.249.64.214",0
08/05/2017 20:41:00,2093944830,,"66.249.64.210",0
08/05/2017 20:41:00,2093944791,,"66.249.64.218",0
08/05/2017 20:41:00,2093944767,,"66.249.64.210",0
08/05/2017 20:40:00,2093944728,,"66.249.64.210",0
08/05/2017 20:40:00,2093944683,,"66.249.64.210",0
08/05/2017 20:40:00,2093944675,,"66.249.64.214",0
08/05/2017 20:40:00,2093944649,,"66.249.64.210",0
08/05/2017 20:35:00,2093942034,,"131.253.27.56",0
08/05/2017 20:34:00,2093941534,,"66.249.64.218",0
08/05/2017 20:33:00,2093940969,,"186.224.167.189",56
08/05/2017 20:30:00,2093939888,,"66.249.64.210",0
08/05/2017 20:30:00,2093939488,,"66.249.64.214",0
