ID Cor,Nome,Código
59332,"5010019N00","#FFFFFF"
59334,"5010019N18","#FF3366"
59335,"5010019N28","#33FFCC"
59336,"5010039N00","#33FFFF"
59337,"5010039N11","#FFFF99"
59338,"051315301015N00","#FFFFFF"
59339,"051315301021N00","#FFFFFF"
59341,"051315301029N00","#FFFFFF"
59342,"051315301069N00","#FFFFFF"
59343,"062315311001N00","#336699"
59344,"051215308015N08","#003366"
59345,"051215308001N00","#6699FF"
59346,"051215308009N00","#000000"
59347,"061215308009N01","#000000"
59348,"063315308001N00","#33CCFF"
59349,"5010003N22","#0033FF"
59350,"5010003N28","#00FFCC"
59351,"5010009N00","#FFCC00"
59352,"5010047N00","#000000"
59353,"5010027N26","#33FFFF"
59354,"5010051N00","#FF0000"
59355,"5160001N00","#FFCC00"
59356,"051215301035N00","#FFFFFF"
59357,"051215303015N22","#0033FF"
59358,"5830001N00","#66FFCC"
59359,"4120500487","#3399FF"
59360,"412050065N01","#000000"
59361,"4130502817493","#FF3399"
59362,"4130502815590","#FFFFFF"
59363,"4130503031","#000000"
59364,"4130503037","#0066FF"
59365,"4130503155347","#FF0033"
59366,"4130503531","#000000"
59367,"413050353VERMELHO","#FF0033"
59368,"413050365PRETO","#000000"
59369,"413050374N03","#FFFFFF"
59370,"413050375N14","#FF9999"
59371,"051215301059N00","#FFFF00"
59372,"051215301069N01","#000000"
59373,"051315301011N23","#0000FF"
59374,"051315301047N00","#FFFFFF"
59375,"051315301049N01","#000000"
59376,"051315301061N00","#33CC99"
59377,"051315302007N00","#FFFFFF"
59379,"051514304005N01","#000000"
59380,"051515303001N00","#FFFFFF"
59381,"061215301021N00","#FFFFFF"
59382,"061215301067N26","#33FFCC"
59383,"061215301067N19","#FF0066"
59384,"061215301079N22","#0033FF"
59385,"061215302013N00","#FFFFFF"
59386,"061315301005N00","#FFFF33"
59387,"061315301031N00","#FFFFFF"
59388,"061315301045N11","#FFFF33"
59389,"061315301063N11","#FFFF33"
59390,"5170009N00","#FFFFFF"
59391,"5170015N00","#FFFFFF"
59392,"051315317005N00","#FFFFFF"
59393,"051514317015N14","#FF6633"
59394,"051515317013N93","#FFFFFF"
59395,"061315317013N00","#FFFFFF"
59396,"061315317015N02","#FFFFFF"
59397,"061315317025N02","#FFFFFF"
59398,"061315317033N22","#0033FF"
59399,"061315317033N01","#000000"
59400,"420050082PRETO","#000000"
59401,"420050384N00","#FF0099"
59402,"051215310003N00","#000000"
59403,"051215310007N00","#336699"
59404,"051215310025N00","#000000"
59405,"051215310027N00","#3399FF"
59406,"051215310035N00","#000000"
59408,"051215310037N00","#000000"
59409,"051215310039N21","#9933FF"
59410,"061215310023N05","#FFFFCC"
59411,"061215310029N15","#FF0033"
59412,"061215310057N28","#66FF99"
59413,"062215310025N00","#3399CC"
59414,"062315310003N00","#336699"
59415,"062315310007N00","#336699"
59416,"062315310009N00","#3366CC"
59417,"062315310015N00","#336699"
59418,"062315310025N00","#000000"
59419,"063215310013N16","#330066"
59420,"5440001N00","#6699FF"
59421,"4260501808949","#33CC33"
59422,"4260501807171","#FF9933"
59423,"4260501801","#000000"
59424,"426050340N00","#FF33CC"
59425,"061315304007N00","#FFFFFF"
59426,"5060001N00","#FFFF66"
59427,"051315306001N00","#FFFFFF"
59428,"051315306001N01","#000000"
59429,"051315306001N19","#FF3399"
59430,"051315306003N00","#FFFFFF"
59431,"051215318009N22","#3399FF"
59432,"051215318015N00","#0099FF"
59433,"051215318011N22","#6699FF"
59434,"051215318019N00","#000000"
59435,"051314318005N00","#FF66CC"
59436,"051315318011N22","#0066FF"
59437,"051515318003N00","#FFFFFF"
59438,"051515318005N00","#FFFFFF"
59439,"051215307003N00","#FFCC33"
59440,"051215307009N00","#000000"
59441,"053314307001N00","#FF3333"
59442,"5190003N00","#FFFFFF"
59443,"051215302005N22","#0066FF"
59444,"5190005N00","#FF0033"
59445,"051215319005N19","#FF99FF"
59446,"051215319015N00","#3399FF"
59447,"051215319023N00","#000000"
59448,"051315319003N11","#FFFF66"
59449,"051315319019T71","#00FF66"
59450,"051315319021N28","#33CC33"
59451,"051515319005N00","#000000"
59452,"054215319003N00","#FF3333"
59453,"061315307003N102","#FFFF33"
59454,"061215303003N00","#FF3333"
59455,"061215303015N00","#000000"
59456,"061215303019N03","#FFFFFF"
59457,"061215303019N14","#FF6633"
59458,"061315303009N03","#FFFFFF"
59459,"061315303019N02","#FFFFFF"
59460,"061315303019N26","#00FF99"
59461,"061315303025N00","#FFFF66"
59462,"061315303033N01","#000000"
59463,"061315303035N00","#66FFFF"
59464,"061315313001N00","#FFFFFF"
59465,"421050081C50","#66CCFF"
59466,"421050081DOURADO","#FFCC33"
59467,"421050099N00","#FFFFFF"
59468,"4210501095984","#FFFF66"
59469,"421050124N00","#66CCFF"
59470,"421050126N01","#000000"
59471,"421050132N00","#000000"
59472,"421050135N00","#000000"
59473,"4210501361213","#99FF33"
59474,"42105014107B","#FF3399"
59475,"42105014118-4936","#0066FF"
59476,"42105014517-1563","#00CCFF"
59477,"421050146N00","#000000"
59478,"421050147VERDE","#00FF99"
59479,"421050150N00","#3366CC"
59480,"421050155N28","#33CC99"
59481,"421050158N00","#33CCFF"
59482,"421050159N00","#FF99FF"
59483,"051215320165N00","#996600"
59484,"051315320023N00","#33CCFF"
59485,"421050160N01","#000000"
59486,"421050160N15","#FF0000"
59487,"421050160N19","#FF66CC"
59488,"051315320035N19","#FF0066"
59489,"051315320047N00","#663333"
59490,"051215314003N28","#339966"
59491,"051315320053N00","#339933"
59492,"051315320065N00","#663333"
59493,"051314314017N01","#000000"
59494,"051315320067N28","#33FF33"
59495,"051314314017T05","#FFFFCC"
59496,"051315320077N00","#FF9933"
59497,"051315320083N00","#3399FF"
59498,"051315320089N00","#FFFFFF"
59499,"051514314009N02","#FFFFFF"
59500,"051315320105N00","#663333"
59501,"052215314003N00","#FFFFFF"
59502,"053215314001N02","#FFFFFF"
59503,"051315320121N00","#000000"
59504,"051315320121T71","#0033FF"
59505,"061215314007N00","#FFFFFF"
59506,"051315320127N00","#0033FF"
59507,"051315320137N00","#663333"
59508,"061215314017N00","#000000"
59509,"051315320153N00","#FFFFFF"
59510,"061215314045N00","#000000"
59511,"061315314009N00","#FFFFFF"
59512,"051315320175N00","#000000"
59513,"061315314017N00","#FFFFFF"
59514,"061315314017N01","#000000"
59515,"051315320193N00","#0000CC"
59516,"051315320099N00","#000000"
59517,"051315320119N00","#33CC66"
59518,"051315320055N00","#FFFFCC"
59519,"061315314019N01","#000000"
59520,"051315320157N19","#FF0066"
59521,"061315314025N03","#FFFFFF"
59522,"051315320097N00","#000000"
59523,"062315313001N00","#336699"
59524,"051215320171N90","#990099"
59525,"051315320075N00","#FFFFFF"
59526,"063215314003N00","#000000"
59527,"051315320161N00","#33CCCC"
59528,"051315320181N01","#000000"
59529,"051315320181N03","#FFFFCC"
59530,"063215314005N28","#66FF99"
59531,"051315320079N00","#000000"
59532,"063315314003N14","#FF9966"
59533,"051315320031N00","#FFFFCC"
59534,"051315320081N00","#FFFFCC"
59535,"051215312001N01","#000000"
59536,"051315320081N01","#000000"
59537,"051315320081N19","#FF00FF"
59538,"41605010119-3949","#3366FF"
59539,"416050101PINK","#FF33CC"
59540,"051515320025N00","#FFFFCC"
59541,"4160501057","#3366FF"
59542,"416050105RX","#6633CC"
59543,"051315317013N00","#000000"
59544,"051215313003N16","#6633CC"
59545,"051315317025N22","#00CCFF"
59546,"051514312001N03","#FFFFFF"
59547,"051315317017N01","#000000"
59548,"051315317017N26","#33CCCC"
59549,"052315312003N00","#FFFFFF"
59550,"051315317003N00","#FFFFFF"
59551,"061215312013N00","#FFFFFF"
59552,"051315317009N00","#FFFFFF"
59553,"051315317011N00","#66CC99"
59554,"061215312019N26","#33FF99"
59555,"051315317021N00","#000000"
59556,"051315317019N00","#FFFFFF"
59557,"051315317019N01","#000000"
59558,"061315312001N18","#FF0066"
59559,"051315317019N19","#FF0066"
59560,"051315310007N00","#FFFFCC"
59561,"062215312007N00","#FFFFFF"
59562,"051315310003N00","#FFFFFF"
59563,"062315312007N00","#336699"
59564,"051315310005N00","#FFFFFF"
59565,"051315310009N00","#FFFFFF"
59566,"051315310009N22","#3300FF"
59567,"053215310003N00","#FFFFCC"
59568,"062315312011N00","#336699"
59569,"051315318019N00","#FFFFCC"
59570,"051315318019N18","#FF3333"
59571,"062315312015N00","#FFFFFF"
59572,"051315318005N00","#0033FF"
59573,"063215312005N11","#FFFF33"
59574,"051315318015N00","#FFFF99"
59575,"051315318021N00","#339933"
59576,"063215313003N00","#FFFFFF"
59577,"051315319031N00","#33CC99"
59578,"051315316001N00","#FFFFCC"
59579,"063315312001N26","#33CCCC"
59580,"051315316001N13","#FF9999"
59581,"5020003N00","#FFFFFF"
59582,"5020005N00","#FFFF99"
59583,"053215307001N11","#FFFF99"
59584,"051315319005N00","#FFFFCC"
59585,"5020007N00","#FFFFFF"
59586,"051315319015N01","#000000"
59587,"051315319013N00","#33CC66"
59588,"5020009N00","#FFFFFF"
59589,"051315319017N00","#000000"
59590,"051315303019N00","#000000"
59591,"051515302005N00","#CCFFFF"
59592,"051315301071N00","#663333"
59593,"061315302029N01","#000000"
59594,"5200045N00","#FFFFFF"
59595,"5200097N00","#CCFFFF"
59596,"051315314015N85","#FFFFFF"
59597,"051315312011N00","#FFFFFF"
59598,"5200001N00","#FF66CC"
59599,"051315312005N22","#0000FF"
59600,"5200023N00","#FFFFFF"
59601,"052215313001N00","#000033"
59602,"051215320099N00","#FFFFFF"
59603,"051315302015N00","#000000"
59604,"5200031N00","#FFFF99"
59605,"051315320135N19","#FF0099"
59606,"051315320135N11","#FFFF66"
59607,"051315320025N00","#FFFFCC"
59608,"051215320107N28","#33CC99"
59609,"051315320131N00","#FFFFFF"
59610,"051315320131N01","#000000"
59611,"051315320131N19","#FF0066"
59612,"5200065N00","#FFFFFF"
59613,"051315320131N23","#3300FF"
59614,"051315320111N00","#000000"
59615,"5200089N26","#66FFCC"
59616,"051315320151N00","#FFFFFF"
59617,"051315320151N01","#000000"
59618,"5200093N01","#000000"
59619,"051315320151N19","#FF0066"
59620,"051315320151N23","#3300FF"
59621,"5200099N00","#000000"
59622,"051215320173N90","#CC0099"
59623,"422050415N00","#FFCCFF"
59624,"051315320085N00","#000000"
59625,"051215320021N00","#FF66FF"
59626,"051215320121N17","#FF66FF"
59627,"051215320027N00","#FFFFFF"
59628,"051215320127N00","#663333"
59629,"051215320067N00","#FFFFFF"
59630,"051515320055N00","#FFFFCC"
59631,"051215320069N19","#FF33CC"
59632,"051515320069N00","#FFFFFF"
59633,"051215320073N00","#000000"
59634,"051515320077N00","#FFFFCC"
59635,"051515320079N00","#FFFFCC"
59636,"051215320085N00","#000000"
59637,"051515320083N00","#FFFFCC"
59638,"051215320087N00","#000000"
59639,"051515320087N00","#000000"
59640,"051215320109N00","#000000"
59641,"051515320099N00","#000000"
59642,"061215320001N00","#990033"
59643,"051215320111N34","#663333"
59644,"061215320035N00","#000000"
59645,"051215320119N00","#000000"
59646,"061215320071N00","#990099"
59647,"061215320117N00","#FFFFCC"
59648,"051215320133N94","#FF9966"
59649,"061315320039N104","#33FF66"
59650,"061315320143N00","#FF99CC"
59651,"051215320141N00","#000000"
59652,"051315301081N00","#000000"
59653,"051315301027N00","#FFFFCC"
59654,"051215320147N29","#FFCC33"
59655,"051315301027N11","#FFFF33"
59656,"051215320155N00","#FFFFFF"
59657,"051315301035N00","#FFFFFF"
59658,"051315301035N11","#FFCC33"
59659,"051315301035N19","#FF0033"
59660,"051215320175N00","#000000"
59661,"051315301035N28","#33CC33"
59662,"051314320087N00","#FFFFFF"
59663,"051315301063T78","#0066FF"
59664,"051315301075N00","#FFFFFF"
59665,"051315301075N01","#000000"
59666,"051314320089N19","#FF3399"
59667,"051315301075N06","#666666"
59668,"051314320105N00","#FFFFFF"
59669,"051315301083N00","#FFFFCC"
59670,"051315301083N01","#000000"
59671,"051315320115N00","#CCFFFF"
59672,"051315301031N11","#FFFF66"
59673,"051315301041N00","#FFFFFF"
59674,"051315320125N00","#FFFF66"
59675,"051515301015N00","#000000"
59676,"051315320139N00","#000000"
59677,"051315301017N00","#000000"
59678,"051514320053N19","#FF3399"
59679,"051315304003N00","#FF6666"
59680,"051515301023N00","#FFFFCC"
59681,"051514320061N00","#FF66CC"
59682,"051515301023N13","#FF9966"
59683,"051515320005N00","#FFFFFF"
59684,"051515320015N00","#FFFFFF"
59685,"051515320039N00","#FFFFFF"
59686,"051515320043N00","#FFFFFF"
59687,"051515320053N00","#FFFFFF"
59995,"051215303015N01","#FFFFFF"
59996,"051215301069N02","#FFFFFF"
59997,"051215301069N16","#FFFFFF"
59998,"051215301069N28","#FFFFFF"
59999,"051215302005N03","#FFFFFF"
60000,"051215303015N03","#FFFFFF"
60001,"051215303015N15","#FFFFFF"
60002,"051215308015N16","#FFFFFF"
60003,"051215310039N06","#FFFFFF"
60004,"051215312001N02","#FFFFFF"
60005,"051215313003N08","#993300"
60006,"051215314003N01","#000000"
60007,"051215318009N14","#FF6600"
60008,"051215318011N14","#FF6600"
60009,"051215318017N00","#FFFFFF"
60010,"051215319005N22","#3300FF"
60011,"051215320059N00","#FFFFFF"
60012,"051215320069N01","#000000"
60013,"051215320069N02","#FFFFFF"
60014,"051215320069N28","#006600"
60015,"051215320107N01","#000000"
60016,"051215320109N01","#000000"
60017,"051215320109N28","#006600"
60018,"051215320111N35","#FFFFFF"
60019,"051215320121N14","#FF6600"
60020,"051215320121N22","#0000FF"
60021,"051215320127N28","#339900"
60022,"051215320133T65","#3300FF"
60023,"051215320147N101","#EFEFEF"
60024,"051215320161N06","#CCCCCC"
60025,"051215320161N21","#6600CC"
60026,"051215320171N01","#000000"
60027,"051215320173N01","#000000"
60028,"051314320089N01","#000000"
60029,"051314320089N22","#3300FF"
60030,"051314320089N26","#66FFFF"
60031,"051315301011N00","#FFFFFF"
60032,"051315301011N11","#FFFF00"
60033,"051315301015N14","#FF6600"
60034,"051315301031N00","#FFFFFF"
60035,"051315301031N28","#33CC00"
60036,"051315301041N14","#FF6600"
60037,"051315301043N00","#FFFFFF"
60038,"051315301043N01","#000000"
60039,"051315301049N00","#FFFFFF"
60040,"051315301049N11","#FFFF00"
60041,"051315301061N14","#FF9900"
60042,"051315301063N00","#FFFFFF"
60043,"051315301065N00","#FFFFFF"
60044,"051315301065N01","#000000"
60045,"051315301065N28","#339900"
60046,"051315301069N18","#FF33CC"
60047,"051315301075N11","#FFFF00"
60048,"051315301085N00","#FFFFFF"
60049,"051315301085N22","#3300FF"
60050,"051315301085N28","#339900"
60052,"051315301091N00","#FFFFFF"
60053,"051315301091N22","#3300FF"
60054,"051315303019N03","#FFFFFF"
60055,"051315303029N00","#FFFFFF"
60057,"051315304005N00","#FFFFFF"
60058,"051315304005N14","#FF9900"
60059,"051315304005N28","#339900"
60060,"051315306001N23","#3300FF"
60061,"051315312003N00","#FFFFFF"
60062,"051315312005N11","#FFFF00"
60063,"051315312009N00","#FFFFFF"
60064,"051315312009N01","#000000"
60065,"051315312009N28","#33CC00"
60066,"051315312011N01","#000000"
60067,"051315312011N10","#996600"
60068,"051315312011N10","#FF33FF"
60069,"051315312011N19","#FF3399"
60070,"051315312011N26","#66FFFF"
60071,"051315314013N00","#FFFFFF"
60072,"051315314013N19","#FF33CC"
60073,"051315314013N22","#3300FF"
60074,"051315314013N26","#66FFFF"
